business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
1w1H1kYUN60zpfdP-0qmGQ,Machismo Burrito Bar,8500 Henry Ave,Philadelphia,PA,19128,40.0626011,-75.2372078,3.0,30,0,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'WiFi': ""'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'quiet'"", 'Caters': 'True'}","Restaurants, Mexican","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-20:0'}"
Ryt1Fhgz7sixMQSJiLyP_g,Zocalo,3600 Lancaster Ave,Philadelphia,PA,19104,39.9584222,-75.1938661,2.5,59,0,"{'Corkage': 'False', 'RestaurantsDelivery': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'True', 'NoiseLevel': ""u'average'"", 'Alcohol': ""'full_bar'"", 'Caters': 'False', 'GoodForKids': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'WiFi': ""u'no'"", 'HappyHour': 'True', 'BYOBCorkage': ""'yes_free'""}","Restaurants, Mexican","{'Monday': '12:0-0:0', 'Tuesday': '12:0-0:0', 'Wednesday': '12:0-0:0', 'Thursday': '12:0-0:0', 'Friday': '12:0-0:0', 'Saturday': '12:0-0:0'}"
ugSVRAKO6mxvsrElFg8USw,México Lindo,700 Moore St,Philadelphia,PA,19148,39.926402,-75.1575374,4.5,73,1,"{'RestaurantsDelivery': 'True', 'HasTV': 'True', 'WiFi': ""'paid'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'quiet'"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'False', 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': None, 'brunch': None, 'breakfast': None}"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'RestaurantsTableService': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""u'casual'"", 'Ambience': ""{u'divey': True, u'hipster': False, u'casual': None, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': False, u'classy': False, u'upscale': False}""}","Mexican, Restaurants","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}"
afsP-p_pr4ikrboB5MtUzQ,Los Compadres,3300 Market St,Philadelphia,PA,19145,39.9553865,-75.1910637,4.0,12,1,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'no'"", 'RestaurantsTableService': 'False', 'HasTV': 'True', 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True'}","Mexican, Italian, Food Trucks, Restaurants, Food","{'Monday': '9:0-15:30', 'Tuesday': '9:0-15:30', 'Wednesday': '9:0-15:30', 'Thursday': '9:0-15:30', 'Friday': '9:0-15:30'}"
tVxL-Ygzwp8NMuxwvNmWRA,Los Potrillos,4200 G St.,Philadelphia,PA,19124,40.0123759,-75.1124633,4.0,17,1,"{'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'False', 'Corkage': 'False', 'Caters': 'True', 'Alcohol': ""u'none'"", 'WheelchairAccessible': 'False', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'OutdoorSeating': 'False', 'BikeParking': 'False', 'BYOB': 'False'}","American (Traditional), Spanish, Restaurants, Food Trucks, Mexican, Food","{'Monday': '10:0-23:30', 'Tuesday': '10:0-23:30', 'Wednesday': '10:0-23:30', 'Thursday': '10:0-23:30', 'Friday': '10:0-0:0', 'Saturday': '12:0-0:0'}"
I5KZm-NnxYeEQsmp6nK5_w,Las Cazuelas Restaurant BYOB,426 W Girard Ave,Philadelphia,PA,19123,39.9698623,-75.1439919,4.0,338,1,"{'RestaurantsReservations': 'True', 'BYOBCorkage': ""'yes_free'"", 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'Alcohol': ""'none'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True', 'Corkage': 'False', 'Caters': 'True', 'DriveThru': 'False', 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': None, u'classy': True, u'upscale': False}"", 'HasTV': 'True', 'HappyHour': 'False', 'BYOB': 'True', 'OutdoorSeating': 'True', 'DogsAllowed': 'False', 'GoodForMeal': ""{u'breakfast': False, u'brunch': None, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': False}"", 'RestaurantsDelivery': 'True'}","Food, Tacos, Mexican, Latin American, Restaurants, Spanish","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}"
XQ_wVhRayMJGQT9J_WANkw,4 Seasons Grill Mexican Restaurant,"3503 B St, Ste 4B",Philadelphia,PA,19134,40.0030161,-75.1239721,4.0,12,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","Mexican, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
HFuAKE0uZ-frIMjroeA-cA,SET NoLibs,"1030 N 2nd St, Unit 101",Philadelphia,PA,19123,39.9671493,-75.1404232,4.0,108,1,"{'Ambience': ""{u'divey': False, u'hipster': False, u'casual': False, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': True, u'upscale': False}"", 'OutdoorSeating': 'True', 'RestaurantsTableService': 'True', 'HappyHour': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': False}"", 'RestaurantsTakeOut': 'None', 'RestaurantsDelivery': 'None', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'Alcohol': ""u'full_bar'""}","Mexican, Bars, Restaurants, Asian Fusion, Lounges, Nightlife, Salad, Tacos","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-23:0'}"
1UNorskttXSWuEcgzKzXcA,Xochitl,408 S 2nd St,Philadelphia,PA,19147,39.9428742,-75.1456449,3.5,453,1,"{'RestaurantsAttire': ""'casual'"", 'GoodForKids': 'False', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '3', 'HasTV': 'True', 'Alcohol': ""'full_bar'"", 'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'True', 'OutdoorSeating': 'True', 'Smoking': ""u'no'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'Caters': 'True', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'WiFi': ""u'no'"", 'WheelchairAccessible': 'False', 'GoodForMeal': ""{u'breakfast': False, u'brunch': False, u'lunch': False, u'dinner': True, u'latenight': None, u'dessert': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","Lounges, Restaurants, Asian Fusion, Mexican, Latin American, Nightlife, Bars","{'Monday': '0:0-0:0', 'Tuesday': '17:0-23:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0'}"
hUX1yAimviBIhb21D_KtcQ,Cactus Restaurant & Bar,4243 Main St,Philadelphia,PA,19127,40.0245627,-75.2209958,3.0,312,1,"{'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'GoodForKids': 'False', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForDancing': 'False', 'Caters': 'False', 'BestNights': ""{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'None', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","Mexican, Restaurants, Bars, Tex-Mex, Nightlife","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
